title,country,city,link,protocol,ip,port,domain,as_organization,host
,CN,Shanghai,http://updater-master.spark.xd.com,http,47.101.174.138,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",updater-master.spark.xd.com
,CN,Beijing,https://auto-login.torchlight.xd.com,https,123.57.224.2,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://auto-login.torchlight.xd.com
,CN,Beijing,https://s588.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s588.js.xd.com
,CN,Beijing,https://s669.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s669.js.xd.com
,CN,Shanghai,http://doc-gpt-master.spark.xd.com,http,47.101.174.138,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",doc-gpt-master.spark.xd.com
,CN,Beijing,https://s918.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s918.js.xd.com
,CN,Beijing,https://s1286.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1286.ios.js.xd.com
,CN,Beijing,https://s296.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s296.js.xd.com
,CN,Beijing,https://s392.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s392.ios.js.xd.com
,CN,Beijing,https://s474.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s474.js.xd.com
,CN,Shanghai,https://tap-adn-server-beta.spark.xd.com,https,47.101.174.138,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://tap-adn-server-beta.spark.xd.com
,CN,Beijing,https://s233.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s233.ios.js.xd.com
,CN,Beijing,https://s689.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s689.ios.js.xd.com
,CN,Beijing,https://s108.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s108.ios.js.xd.com
,CN,Beijing,https://s1234.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1234.js.xd.com
,CN,Beijing,http://s330.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s330.js.xd.com
,CN,Beijing,http://s1257.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1257.js.xd.com
,CN,Beijing,https://s956.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s956.js.xd.com
,CN,Beijing,http://s583.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s583.js.xd.com
,CN,Beijing,http://s228.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s228.ios.js.xd.com
,CN,Beijing,https://s1249.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1249.js.xd.com
,CN,Beijing,http://s895.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s895.js.xd.com
,CN,Beijing,https://s1066.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1066.ios.js.xd.com
,CN,Beijing,http://s334.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s334.ios.js.xd.com
,CN,Beijing,https://s936.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s936.js.xd.com
,CN,Beijing,http://s654.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s654.js.xd.com
,CN,Beijing,http://s539.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s539.ios.js.xd.com
,CN,Beijing,https://s380.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s380.ios.js.xd.com
,CN,Beijing,https://s228.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s228.ios.js.xd.com
,CN,Beijing,https://s993.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s993.ios.js.xd.com
,CN,Beijing,http://s748.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s748.js.xd.com
,CN,Beijing,http://s936.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s936.js.xd.com
,CN,Beijing,https://s902.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s902.ios.js.xd.com
,CN,Beijing,https://s388.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s388.ios.js.xd.com
,CN,Beijing,https://s583.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s583.js.xd.com
,CN,Beijing,https://s1512.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1512.ios.js.xd.com
,CN,Beijing,https://s671.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s671.ios.js.xd.com
,CN,,https://o69iay0p.xm.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://o69iay0p.xm.zf.xd.com
,CN,Beijing,https://s1832.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1832.ios.js.xd.com
,CN,Beijing,http://s760.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s760.ios.js.xd.com
,CN,Beijing,https://s43.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s43.ios.js.xd.com
